SBD,MA DE,DUNG#1,DIEM#1
'000008,'101,'20/25,8.00
'000003,'101,'22/25,8.80
'000002,'101,'21/25,8.40
'000022,'101,'18/25,7.20
'000017,'101,'19/25,7.60
'000019,'101,'19/25,7.60
'000005,'101,'21/25,8.40
'000027,'101,'20/25,8.00
'000024,'101,'15/25,6.00
'000023,'101,'20/25,8.00
'000010,'101,'18/25,7.20
'000001,'101,'19/25,7.60
'000028,'101,'13/25,5.20
'000026,'101,'15/25,6.00
'000007,'101,'21/25,8.40
'______,'101,'22/25,8.80
'000013,'101,'23/25,9.20
'000014,'101,'24/25,9.60
'000020,'101,'21/25,8.40
'000018,'101,'22/25,8.80
'000012,'101,'21/25,8.40
'000025,'101,'19/25,7.60
'000006,'101,'21/25,8.40
'______,'101,'19/25,7.60
'0_0015,'101,'18/25,7.20
'000016,'101,'14/25,5.60
'000009,'101,'18/25,7.20
'000021,'101,'21/25,8.40